Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate
294 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,02/16/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/22/2011 07:00 AM +0000,997716,190555
294 SAINT MARKS AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,05/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/08/2011 07:00 AM +0000,993579,186321
2940 BAINBRIDGE AVENUE,BRONX,07 BRONX,Precinct 52,11,01/26/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/03/2011 08:00 AM +0000,1016009,256413
2940 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,11/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/17/2011 08:00 AM +0000,1015817,186837
2940 WHITEPLAINS ROAD,BRONX,11 BRONX,Precinct 49,11,01/19/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/18/2011 07:00 AM +0000,1020968,255788
2941 BOSTON ROAD,BRONX,11 BRONX,Precinct 49,12,11/02/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,01/05/2011 08:00 AM +0000,1023324,255710
2941 BRUCKNER BOULEVARD,BRONX,10 BRONX,Precinct 45,13,02/13/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2011 07:00 AM +0000,1032135,243168
2942 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,11/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/17/2011 08:00 AM +0000,1015833,186843
2943 BAINBRIDGE AVENUE,BRONX,07 BRONX,Precinct 52,11,06/15/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1016042,256452
2943 BRIGHTON 4 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,06/17/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,994174,150570
2945 BRIGHTON 3 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,06/18/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,993932,150466
2945 WEST 23 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47,10/18/2010 07:00 AM +0000,Open,Unspecified,,987060,148800
2948 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,11/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/17/2011 08:00 AM +0000,1015880,186863
295 AVENUE S,BROOKLYN,11 BROOKLYN,Precinct 62,47,12/11/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/04/2011 08:00 AM +0000,991305,158449
295 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,09/24/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/28/2010 07:00 AM +0000,986467,201101
295 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,09/24/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2010 07:00 AM +0000,983685,201416
295 NOSTRAND AVENUE,BROOKLYN,Unspecified BROOKLYN,Unspecified,36,05/07/2011 07:00 AM +0000,Open,Unspecified,,997788,190123
295 PUTNAM AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,02/07/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/22/2011 07:00 AM +0000,998170,188504
295 WEST 231 STREET,BRONX,08 BRONX,Precinct 50,11,07/09/2011 07:00 AM +0000,Open,Graffiti Reported,,1009646,260153
295 WOODBINE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,02/14/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/28/2011 07:00 AM +0000,1008391,193010
2950 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,11/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/17/2011 08:00 AM +0000,1015895,186870
2952 AVENUE X,BROOKLYN,15 BROOKLYN,Precinct 61,46,07/14/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1001052,155667
2958 WHITE PLAINS ROAD,BRONX,11 BRONX,Precinct 49,11,12/03/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/23/2011 08:00 AM +0000,1020970,255872
296 NEW LOTS AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,04/11/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/28/2011 07:00 AM +0000,1013294,180057
296 WYTHE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,33,06/05/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,994183,200151
2962 3 AVENUE,BRONX,01 BRONX,Precinct 40,17,03/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/18/2011 07:00 AM +0000,1007683,237214
2962 JEROME AVENUE,BRONX,07 BRONX,Precinct 52,11,03/11/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/18/2011 07:00 AM +0000,1014788,257314
2963 BRIGGS AVENUE,BRONX,07 BRONX,Precinct 52,11,10/29/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2011 08:00 AM +0000,1015869,256691
2964 MIDDLETOWN ROAD,BRONX,10 BRONX,Precinct 45,13,09/13/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/24/2010 07:00 AM +0000,1031047,246732
2968 AVENUE T,BROOKLYN,15 BROOKLYN,Precinct 61,46,04/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/01/2011 07:00 AM +0000,1000698,158915
2968 MIDDLETOWN ROAD,BRONX,10 BRONX,Precinct 45,13,10/25/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/23/2011 08:00 AM +0000,1031058,246735
2969 THIRD AVENUE,BRONX,01 BRONX,Precinct 40,17,05/25/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1007966,237555
297 7 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,3,12/14/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/21/2011 07:00 AM +0000,985937,211235
297 ST NICHOLAS AVENUE,QUEENS,05 QUEENS,Precinct 104,34,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/15/2010 07:00 AM +0000,1008843,194837
297 ST NICHOLAS AVENUE,QUEENS,05 QUEENS,Precinct 104,34,08/02/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1008843,194837
297 WEST 112 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,01/18/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,04/08/2011 07:00 AM +0000,996216,231351
297 WEST 112 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,04/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/01/2011 07:00 AM +0000,996216,231351
2972 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,45,05/23/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/01/2011 07:00 AM +0000,999793,162164
2973 EAST TREMONT AVENUE,BRONX,11 BRONX,Precinct 49,13,05/05/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/22/2011 07:00 AM +0000,1028721,245669
2973 EAST TREMONT AVENUE,BRONX,11 BRONX,Precinct 49,13,08/11/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1028721,245669
2973 PERRY AVENUE,BRONX,07 BRONX,Precinct 52,11,11/28/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/03/2011 08:00 AM +0000,1016331,256315
2974 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,45,10/12/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2010 08:00 AM +0000,999795,162151
2978 EAST 196 STREET,BRONX,10 BRONX,Precinct 45,13,09/27/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2010 07:00 AM +0000,1031653,250642
2978 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,45,05/23/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/01/2011 07:00 AM +0000,999799,162125
2979 DECATUR AVENUE,BRONX,07 BRONX,Precinct 52,11,11/28/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/03/2011 08:00 AM +0000,1016552,255773
298 ALBANY AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,12/02/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/17/2011 08:00 AM +0000,1001072,183411
298 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,09/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/24/2010 07:00 AM +0000,986446,201116
298 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,03/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2011 07:00 AM +0000,986446,201116
2983 PERRY AVENUE,BRONX,07 BRONX,Precinct 52,11,11/28/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/03/2011 08:00 AM +0000,1016392,256365
2988 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,45,05/20/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/01/2011 07:00 AM +0000,999809,162060
299 ALBANY AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,05/05/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/23/2011 07:00 AM +0000,1001086,183519
299 SCHOLES STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,05/25/2011 07:00 AM +0000,Open,Unspecified,,1001931,197764
299 SOUND VIEW AVENUE,BRONX,09 BRONX,Precinct 43,18,07/26/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1024094,234885
299 SOUNDVIEW AVENUE,BRONX,09 BRONX,Precinct 43,18,04/19/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1024094,234885
2990 BRIGHTON 12 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,05/27/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,996347,150661
2990 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,45,05/23/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/01/2011 07:00 AM +0000,999811,162047
2999 SCHURZ AVENUE,BRONX,10 BRONX,Precinct 45,13,08/08/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1036158,236241
2999 THIRD AVENUE,BRONX,01 BRONX,Precinct 40,17,05/25/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1008086,237724
2A NYC TERMINAL MARKET BLDG A-    1,BRONX,Unspecified BRONX,Unspecified,,07/11/2011 07:00 AM +0000,Open,Unspecified,,,
3 DOYERS STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,12/02/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2010 08:00 AM +0000,984845,199495
3 DOYERS STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,02/14/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/13/2011 07:00 AM +0000,984845,199495
3 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,09/23/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/27/2010 07:00 AM +0000,986729,199713
3 MCKIBBEN COURT,BROOKLYN,01 BROOKLYN,Precinct 90,34,11/22/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/04/2011 08:00 AM +0000,1001432,196284
3 OPAL COURT,BROOKLYN,15 BROOKLYN,Precinct 61,46,06/24/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1005084,152795
3 PRINCE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,05/02/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/10/2011 07:00 AM +0000,986058,202485
3 SOMERS STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41,09/13/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2010 07:00 AM +0000,1008367,186463
3 ST MARKS PLACE,MANHATTAN,03 MANHATTAN,Precinct 9,2,01/22/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,03/16/2011 07:00 AM +0000,987167,205009
3 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,05/13/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1000093,233163
3 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,08/03/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1000093,233163
3 WEST 129 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,01/19/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,04/12/2011 07:00 AM +0000,1000607,234090
3 WHITE STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1,09/17/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/20/2010 07:00 AM +0000,982603,201354
30 ALLEN STREET,MANHATTAN,03 MANHATTAN,Unspecified,1,11/09/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/24/2010 08:00 AM +0000,986435,200051
30 CANAL STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,10/08/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2010 07:00 AM +0000,986878,199581
30 CLINTON STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,12/21/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2011 08:00 AM +0000,986544,192749
30 DOOLEY STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,06/10/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,999512,152190
30 DOWNING STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3,02/24/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/04/2011 07:00 AM +0000,983306,205021
30 EAST 95 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4,05/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/20/2011 07:00 AM +0000,996669,225914
30 EAST 98 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,41,05/02/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/23/2011 07:00 AM +0000,1005388,181848
30 GEORGIA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,07/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1012264,185755
30 HOWARD STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,10/08/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2010 07:00 AM +0000,984046,201453
30 HOWARD STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,12/29/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2011 07:00 AM +0000,984046,201453
30 JANE STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3,07/28/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983298,208196
30 MACON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,12/13/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2011 08:00 AM +0000,998102,187395
30 MAIDEN LANE,MANHATTAN,01 MANHATTAN,Precinct 1,1,10/25/2010 07:00 AM +0000,Open,Unspecified,,981829,197525
30 MOTT STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,10/27/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/05/2010 07:00 AM +0000,984579,199658
30 MT MORRIS PARK WEST,MANHATTAN,10 MANHATTAN,Precinct 28,9,05/16/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2011 07:00 AM +0000,999516,232810
30 MULBERRY STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,12/08/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/10/2010 08:00 AM +0000,984363,199609
30 SNEDEN AVENUE,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,51,08/16/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,935413,136350
30 STEUBEN STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,10/08/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/19/2010 08:00 AM +0000,994293,193259
30 WAVERLY AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,11/12/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/04/2011 08:00 AM +0000,992963,193168
30 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,09/14/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/25/2010 07:00 AM +0000,999925,233249
30 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,05/13/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/05/2011 07:00 AM +0000,999925,233249
30 WEST 190 STREET,BRONX,07 BRONX,Precinct 52,14,08/05/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1011504,254185
30 WEST KINGSBRIDGE ROAD,BRONX,07 BRONX,Precinct 52,14,01/16/2011 08:00 AM +0000,Open,Unspecified,,1012255,255426
30 WESTMINSTER ROAD,BROOKLYN,14 BROOKLYN,Precinct 70,40,08/02/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,992949,175528
30-01 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,03/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2011 07:00 AM +0000,1007714,217453
30-02 14 STREET,QUEENS,01 QUEENS,Precinct 114,22,09/15/2010 07:00 AM +0000,Open,Unspecified,,1003628,220075
30-02 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1007700,217443
30-03 37 STREET,QUEENS,01 QUEENS,Precinct 114,22,04/20/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1007263,217712
30-04 14 STREET,QUEENS,01 QUEENS,Precinct 114,22,08/16/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1003620,220062
30-04 47 STREET,QUEENS,01 QUEENS,Precinct 114,22,07/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1009300,216561
30-05 36 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007094,217935
30-05 46 STREET,QUEENS,01 QUEENS,Precinct 114,22,03/17/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2011 07:00 AM +0000,1009088,216701
30-05 94 STREET,QUEENS,03 QUEENS,Precinct 115,21,01/31/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2011 08:00 AM +0000,1018890,216596
30-10 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007939,217333
30-100 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1009800,215147
30-11 36 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007013,217803
30-11 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,03/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2011 07:00 AM +0000,1007672,217386
30-12 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007931,217320
30-12 44 STREET,QUEENS,01 QUEENS,Precinct 114,22,03/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2011 07:00 AM +0000,1008561,216855
30-13 43 STREET,QUEENS,01 QUEENS,Precinct 114,22,03/13/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2011 07:00 AM +0000,1008381,217048
30-13 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1007664,217372
30-14 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,09/22/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/07/2010 07:00 AM +0000,1005912,218510
30-14 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007923,217308
30-15 34 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,05/03/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/28/2011 07:00 AM +0000,1004239,216159
30-18 35 AVENUE,QUEENS,01 QUEENS,Precinct 114,26,11/04/2010 07:00 AM +0000,Open,Site downloaded for cleaning,,1003896,215587
30-18 90 STREET,QUEENS,03 QUEENS,Precinct 115,21,11/16/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/24/2010 08:00 AM +0000,1017811,216690
30-19 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,03/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2011 07:00 AM +0000,1007639,217332
30-20 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007900,217270
30-22 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,05/03/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/22/2011 07:00 AM +0000,1005882,218460
30-23 32 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1006074,218264
30-23 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,07/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1007622,217305
30-26 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007876,217233
30-28 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007868,217220
30-28 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,03/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2011 07:00 AM +0000,1007595,217272
30-29 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1007598,217265
30-32 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007853,217195
30-34 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,04/30/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/17/2011 07:00 AM +0000,1005835,218384
30-35 68 STREET,QUEENS,03 QUEENS,Precinct 115,25,10/11/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2010 07:00 AM +0000,1012196,215767
30-36 14 STREET,QUEENS,01 QUEENS,Precinct 114,22,10/12/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2010 08:00 AM +0000,1003449,219783
30-39 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007851,217181
30-39 89 STREET,QUEENS,03 QUEENS,Precinct 115,21,10/22/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/03/2010 08:00 AM +0000,1017581,216496
30-40 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,04/30/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/10/2011 07:00 AM +0000,1005812,218347
30-40 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,07/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1005812,218347
30-40 32 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Open,Site downloaded for cleaning,,1005995,218147
30-41 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,04/30/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/10/2011 07:00 AM +0000,1005817,218344
30-43 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,04/30/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/10/2011 07:00 AM +0000,1005810,218331
30-44 STEINWAY AVENUE,QUEENS,01 QUEENS,Precinct 114,22,07/13/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1007530,217167
30-49 34 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1006408,217814
30-51 LINDEN PLACE,QUEENS,07 QUEENS,Precinct 109,20,02/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2011 07:00 AM +0000,1030536,219913
30-53 LINDEN PLACE,QUEENS,07 QUEENS,Precinct 109,20,02/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2011 07:00 AM +0000,1030539,219905
30-54 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,03/13/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/21/2011 07:00 AM +0000,1007685,216925
30-55 VERNON BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,05/31/2011 07:00 AM +0000,Pending,Cleaning crew dispatched.  Property cleaned.,05/10/2011 07:00 AM +0000,1002426,220046
30-59 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Open,Site downloaded for cleaning,,1007698,216934
