OBJECTID,Shape,NAME,URL,LINE
745,"(40.81316833500006, -73.9296808169999)",Grand Concourse & 138th St At Ne Corner,http://www.mta.info/nyct/service/,4-5
746,"(40.51339533300006, -74.25114200699994)",Main St & Ellis St At Sw Corner,http://www.mta.info/nyct/service/,@
747,"(40.51553233300007, -74.24548477399992)",  & Ellis St At S Corner,http://www.mta.info/nyct/service/,@
748,"(40.74701933400007, -73.89135299999992)",74th St & Roosevelt Ave At Ne Corner,http://www.mta.info/nyct/service/,7-E-F-M-R
749,"(40.74777933200005, -73.88404399799992)",82nd St & Roosevelt Ave At Nw Corner,http://www.mta.info/nyct/service/,7
750,"(40.748309334000055, -73.8764599989999)",90th St & Roosevelt Ave At Se Corner,http://www.mta.info/nyct/service/,7
751,"(40.748575335000055, -73.87640999999991)",90th St & Roosevelt Ave At Ne Corner,http://www.mta.info/nyct/service/,7
752,"(40.73311133200008, -73.87023699799994)",Woodhaven Blvd & Queens Blvd At Se Corner,http://www.mta.info/nyct/service/,E-M-R
753,"(40.749319333000074, -73.86935299899994)",Junction Blvd & Roosevelt Ave At Ne Corner,http://www.mta.info/nyct/service/,7-7 Express
754,"(40.74976833200009, -73.86255499799995)",103rd St & Roosevelt Ave At Se Corner,http://www.mta.info/nyct/service/,7
755,"(40.726072345000034, -73.8520622499999)",67th Dr & Queens Blvd At Sw Corner,http://www.mta.info/nyct/service/,E-M-R
756,"(40.726240431000065, -73.85155899299991)",67th Dr & Queens Blvd At Nw Corner,http://www.mta.info/nyct/service/,E-M-R
757,"(40.72706233400004, -73.85318399999994)",67th Ave & Queens Blvd At Ne Corner,http://www.mta.info/nyct/service/,E-M-R
758,"(40.72111433300006, -73.8440209979999)",71st & Queens Blvd At Se Corner,http://www.mta.info/nyct/service/,E-F-M-R
759,"(40.72192933600007, -73.84440619799994)",108th St & Queens Blvd At Nw Corner,http://www.mta.info/nyct/service/,E-F-M-R
760,"(40.71381233200009, -73.83167800099994)",Union Tpke & Queens Blvd At Se Corner,http://www.mta.info/nyct/service/,E-F
761,"(40.71409433200006, -73.82992799899995)",Union Tpke & Queens Blvd At Ne Corner,http://www.mta.info/nyct/service/,E-F
762,"(40.717903479000086, -73.83665814499994)",75th Rd & Queens Blvd At Se Corner (To Jamaica Only),http://www.mta.info/nyct/service/,E-F
763,"(40.714695334000055, -73.83199499799991)",Union Tpke & Queens Blvd At Nw Corner,http://www.mta.info/nyct/service/,E-F
764,"(40.715003333000084, -73.83158899999995)",Union Tpke & Queens Blvd At Sw Corner,http://www.mta.info/nyct/service/,E-F
765,"(40.75941433300005, -73.83030099899992)",Main St & Roosevelt Ave At Sw Corner,http://www.mta.info/nyct/service/,7-7 Express
766,"(40.75960833500005, -73.83036799899992)",Main St & Roosevelt Ave At Nw Corner,http://www.mta.info/nyct/service/,7-7 Express
767,"(40.75952233400005, -73.82993199799995)",Main St & Roosevelt Ave At Se Corner,http://www.mta.info/nyct/service/,7-7 Express
768,"(40.75989833300008, -73.82917099799994)",Main St & Roosevelt Ave At Ne Corner,http://www.mta.info/nyct/service/,7-7 Express
769,"(40.75994333400007, -73.82899799899991)",Main St & Roosevelt Ave At Ne Corner,http://www.mta.info/nyct/service/,7-7 Express
770,"(40.70928266400006, -73.8197183449999)",Van Wyck Blvd & Queens Blvd At Se Corner (To Jamaica Only),http://www.mta.info/nyct/service/,E-F
771,"(40.70970333200006, -73.81962899799993)",84th Rd & Queens Blvd At Ne Corner (To Manhattan Only),http://www.mta.info/nyct/service/,E-F
772,"(40.704928332000065, -73.81198799999993)",144th St & Hillside Ave At Sw Corner,http://www.mta.info/nyct/service/,F
773,"(40.700410333000036, -73.80794299899992)",Sutphin Blvd & Archer Ave At Sw Corner,http://www.mta.info/nyct/service/,E-J-Z
774,"(40.70084833300007, -73.80767199899992)",Sutphin Blvd & Archer Ave At Ne Corner,http://www.mta.info/nyct/service/,E-J-Z
775,"(40.705902335000076, -73.8096409979999)",Sutphin Blvd & Hillside Ave At Ne Corner,http://www.mta.info/nyct/service/,F
776,"(40.70220633300005, -73.80182599799991)",153rd St & Archer Ave At Ne Corner,http://www.mta.info/nyct/service/,E-J-Z
777,"(40.70713733300005, -73.80429499799993)",153rd St & Hillside Ave At Se Corner,http://www.mta.info/nyct/service/,F
778,"(40.70738033200007, -73.8044599989999)",153rd St & Hillside Ave At Ne Corner,http://www.mta.info/nyct/service/,F
779,"(40.707761334000054, -73.8029369969999)",Parsons Blvd & Hillside Ave At Nw Corner,http://www.mta.info/nyct/service/,F
780,"(40.70263733400009, -73.79975099899991)",Parsons Blvd & Archer Ave At Ne Corner,http://www.mta.info/nyct/service/,E-J-Z
781,"(40.70981533400004, -73.79470099899993)",168th St & Hillside Ave At Sw Corner,http://www.mta.info/nyct/service/,F
782,"(40.71051333500009, -73.79302299999995)",169th St & Hillside Ave At Sw Corner,http://www.mta.info/nyct/service/,F
