time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-10T21:20:54.040Z,-1.8709,133.4668,25.36,4.9,mb,,68.0,1.601,0.49,us,us100088bk,2017-03-13T00:29:02.040Z,"130km SSW of Manokwari, Indonesia",earthquake,7.1,5.0,0.05,125.0,reviewed,us,us
2017-03-10T16:41:12.370Z,72.8351,4.7642,10.0,5.0,mb,,88.0,6.09,0.82,us,us1000888q,2017-03-10T16:58:47.040Z,Norwegian Sea,earthquake,6.6,1.4,0.069,67.0,reviewed,us,us
2017-03-10T16:33:15.300Z,-7.2416,105.2858,51.61,4.8,mb,,177.0,3.6830000000000003,0.82,us,us1000888j,2017-03-10T16:48:34.040Z,"61km SW of Tugu Hilir, Indonesia",earthquake,10.7,6.4,0.105,28.0,reviewed,us,us
2017-03-10T16:13:36.900Z,-6.6428,105.0673,70.69,4.7,mb,,90.0,3.091,0.66,us,us1000887k,2017-03-10T16:27:50.040Z,"62km W of Cangkeuteuk Sabrang, Indonesia",earthquake,9.6,8.1,0.08900000000000001,39.0,reviewed,us,us
2017-03-10T15:53:52.240Z,29.6909,141.0343,106.07,5.0,mb,,144.0,2.7769999999999997,0.97,us,us1000887f,2017-03-10T16:12:25.040Z,"Izu Islands, Japan region",earthquake,6.7,7.5,0.095,35.0,reviewed,us,us
2017-03-10T13:46:39.590Z,11.9584,-69.5903,10.0,5.5,mb,,24.0,0.6559999999999999,1.44,us,us1000885n,2017-03-12T20:11:23.808Z,"54km N of La Vela de Coro, Venezuela",earthquake,5.8,1.8,0.023,658.0,reviewed,us,us
2017-03-10T13:13:20.860Z,13.3591,-90.1375,56.56,4.5,mb,,164.0,0.9390000000000001,0.67,us,us1000885d,2017-03-10T15:08:56.603Z,"42km SW of Acajutla, El Salvador",earthquake,8.0,9.3,0.046,141.0,reviewed,us,us
2017-03-10T11:11:09.130Z,51.516999999999996,-177.3535,65.06,4.6,mb,,142.0,0.358,0.91,us,us10008851,2017-03-14T18:19:39.269Z,"62km SW of Adak, Alaska",earthquake,6.9,6.0,0.035,252.0,reviewed,us,us
2017-03-10T06:22:20.380Z,-30.5622,-72.101,14.29,5.1,mwr,,84.0,0.41600000000000004,0.88,us,us1000882x,2017-03-11T04:11:44.415Z,"86km W of Ovalle, Chile",earthquake,5.8,3.4,0.034,84.0,reviewed,us,us
2017-03-10T06:01:17.210Z,17.5044,-62.801,104.75,4.5,mb,,102.0,0.172,0.64,us,us1000882u,2017-03-11T04:13:22.837Z,"10km N of Dieppe Bay Town, Saint Kitts and Nevis",earthquake,6.2,5.4,0.044000000000000004,151.0,reviewed,us,us
